linkID,year,season,r_dateTime_nz,Heat Pump or Heating,Hot water,Lighting,Other,Oven,Total,contribution_HW,contribution_HP,contribution_LI,contribution_OV,contribution_XX
rf_29,2017,Spring,2017-09-02T07:30:00Z,,3139.24333333333,131.297666666667,3331.38366666667,0,6601.92466666667,0.475504264564464,,0.0198877862586941,0,
rf_29,2017,Summer,2017-01-31T04:30:00Z,,3209.56766666667,1.61433333333333,2191.922,1585.195,6988.299,0.459277381615565,,0.000231005189293322,0.226835600480174,
rf_29,2017,Winter,2017-07-14T07:30:00Z,,3123.269,146.671,3564.441,1500.58733333333,8334.96833333333,0.374718760179253,,0.0175970674553653,0.180035157102176,
rf_29,2018,Autumn,2018-05-30T07:00:00Z,,3200.89566666667,98.2333333333334,3462.32833333334,0,6761.45733333334,0.473403218990462,,0.014528426120365,0,
rf_29,2018,Summer,2018-01-02T05:30:00Z,,3178.89066666667,43.8896666666667,1811.22466666666,0,5034.005,0.631483414630432,,0.00871863787713097,0,
rf_29,2018,Winter,2018-06-29T08:00:00Z,,3133.42733333333,128.164333333333,2739.38533333334,0,6000.977,0.522152864997371,,0.0213572445509011,0,
rf_30,2015,Autumn,2015-04-08T06:00:00Z,,526.494,675.487666666667,1297.39133333333,1806.981,4306.354,0.12225980493011,,0.156858369438896,0.419608095386492,
rf_30,2015,Spring,2015-10-03T07:30:00Z,,1408.968,473.102,3291.48266666667,0,5173.55266666667,0.272340515460105,,0.0914462518277253,0,
rf_30,2015,Summer,2015-12-20T04:30:00Z,,988.637333333334,2.35466666666667,825.460333333329,1686.26166666667,3502.714,0.282248945627115,,0.000672240630170396,0.481415744096341,
rf_30,2015,Winter,2015-08-22T06:30:00Z,,1230.621,885.206333333333,1837.25533333334,0,3953.08266666667,0.311306669697775,,0.223928110787463,0,
rf_30,2016,Autumn,2016-03-24T05:00:00Z,,1258.44,667.732666666667,857.104333333329,869.341333333334,3652.61833333333,0.34453093237682,,0.18280931806453,0.238004974513717,
rf_30,2016,Spring,2016-09-04T05:30:00Z,,808.46,994.549,-247.368,1056.56466666667,2612.20566666667,0.30949324179043,,0.380731506975522,0.404472235915065,
rf_30,2016,Summer,2016-02-09T05:00:00Z,,0,41.7016666666667,1765.37533333333,1449.19666666667,3256.27366666667,0,,0.0128065607917271,0.445047565105349,
rf_30,2016,Winter,2016-08-02T05:00:00Z,,1114.21533333333,502.082333333333,-122.683333333333,1170.74466666667,2664.359,0.418192643458832,,0.188443949682957,0.439409503999525,
rf_31,2015,Autumn,2015-05-19T06:30:00Z,356.429666666667,1867.988,618.142,2290.70533333333,,5133.265,0.363898610338644,0.0694352749500887,0.120418875705813,,
rf_31,2015,Spring,2015-09-24T06:30:00Z,579.006,1481.40733333333,597.948,2217.843,,4876.20433333333,0.303803374933768,0.118741127405585,0.122625706210151,,
rf_31,2015,Summer,2015-12-10T06:00:00Z,0,2.153,0,3231.634,,3233.787,0.000665782873145325,0,0,,
rf_31,2015,Winter,2015-06-20T06:30:00Z,101.542666666667,752.155666666667,418.568666666667,3728.94433333334,,5001.21133333334,0.150394697711234,0.0203036144443407,0.083693457198436,,
rf_31,2016,Autumn,2016-05-06T06:30:00Z,51.456,0,492.252666666667,3372.72366666666,,3916.43233333333,0,0.0131384882006132,0.125689051864125,,
rf_31,2016,Spring,2016-09-19T06:00:00Z,150.257,0,591.458666666667,2490.38733333333,,3232.103,0,0.0464889268689766,0.182994993249493,,
rf_31,2016,Summer,2016-01-29T05:00:00Z,0,1745.147,157.603333333333,1833.027,,3735.77733333333,0.467144276621769,0,0.0421875607860996,,
rf_31,2016,Winter,2016-08-06T06:30:00Z,2154.716,0,550.274,1632.137,,4337.127,0,0.496807218234559,0.126875233305366,,
rf_31,2017,Autumn,2017-05-02T05:30:00Z,2.14266666666667,0,717.489,2799.04933333333,,3518.681,0,0.00060894030083053,0.203908510035437,,
rf_31,2017,Spring,2017-09-18T06:00:00Z,46.5463333333333,0,676.384333333333,2831.80333333333,,3554.734,0,0.0130941818243878,0.190277059643094,,
rf_31,2017,Summer,2017-01-23T04:30:00Z,0,0,215.929,2833.76933333333,,3049.69833333333,0,0,0.0708033964015021,,
rf_31,2017,Winter,2017-06-18T05:30:00Z,0,0,523.927666666667,3262.549,,3786.47666666667,0,0,0.138368122344167,,
rf_31,2018,Autumn,2018-05-28T06:00:00Z,1048.533,0,1100.61266666667,4366.42233333333,,6515.568,0,0.160927335882305,0.168920448173769,,
rf_31,2018,Summer,2018-01-15T05:30:00Z,0,0,0,2935.20833333333,,2935.20833333333,0,0,0,,
rf_31,2018,Winter,2018-06-25T05:30:00Z,518.296,0,1207.51133333333,5376.13833333334,,7101.94566666667,0,0.072979437512828,0.170025425426844,,
rf_32,2015,Autumn,2015-04-01T05:00:00Z,0,1458.535,47.3476666666667,1753.93466666666,,3259.81733333333,0.447428444865827,0,0.0145246379858504,,
rf_32,2015,Spring,2015-09-08T05:30:00Z,671.687666666667,0,103.882333333333,2880.286,,3655.856,0,0.183729246082632,0.0284153241630231,,
rf_32,2015,Summer,2015-12-06T05:30:00Z,0,1437.42533333333,227.073666666667,2243.75866666667,,3908.25766666667,0.367791854051246,0,0.058100996923352,,
