"","obsHalfHour","eecaCircuit","year","season","davgW"
"241",01:00:00,"Heat Pump or Heating",2017,"Autumn",16.4871186032148
"242",01:00:00,"Heat Pump or Heating",2017,"Spring",21.1686128193744
"243",01:00:00,"Heat Pump or Heating",2017,"Summer",6.11299173972336
"244",01:00:00,"Heat Pump or Heating",2017,"Winter",66.7923000014034
"245",01:00:00,"Heat Pump or Heating",2018,"Autumn",44.5655845924366
"246",01:00:00,"Heat Pump or Heating",2018,"Summer",17.8672876280536
"247",01:00:00,"Heat Pump or Heating",2018,"Winter",99.6954366666667
"248",01:00:00,"Hot water",2014,"Autumn",149.507495543672
"249",01:00:00,"Hot water",2014,"Spring",127.262796666667
"250",01:00:00,"Hot water",2014,"Summer",112.889110373563
"251",01:00:00,"Hot water",2014,"Winter",217.562550018457
"252",01:00:00,"Hot water",2015,"Autumn",113.590598207821
"253",01:00:00,"Hot water",2015,"Spring",107.909929391704
"254",01:00:00,"Hot water",2015,"Summer",87.8840624461671
"255",01:00:00,"Hot water",2015,"Winter",140.831254277405
"256",01:00:00,"Hot water",2016,"Autumn",93.129145376102
"257",01:00:00,"Hot water",2016,"Spring",125.146366843848
"258",01:00:00,"Hot water",2016,"Summer",98.9018029641681
"259",01:00:00,"Hot water",2016,"Winter",111.96259901535
"260",01:00:00,"Hot water",2017,"Autumn",95.6556691786638
"261",01:00:00,"Hot water",2017,"Spring",92.2536246910674
"262",01:00:00,"Hot water",2017,"Summer",106.970864645328
"263",01:00:00,"Hot water",2017,"Winter",118.381876108503
"264",01:00:00,"Hot water",2018,"Autumn",75.7170834902699
"265",01:00:00,"Hot water",2018,"Summer",45.0999994863893
"266",01:00:00,"Hot water",2018,"Winter",104.846358932462
"267",01:00:00,"Lighting",2014,"Autumn",20.6748563218391
"268",01:00:00,"Lighting",2014,"Spring",26.9787723577236
"269",01:00:00,"Lighting",2014,"Summer",33.5621071428572
"270",01:00:00,"Lighting",2014,"Winter",39.6326248812915
"271",01:00:00,"Lighting",2015,"Autumn",31.3382391556946
"272",01:00:00,"Lighting",2015,"Spring",28.7570463342746
"273",01:00:00,"Lighting",2015,"Summer",24.9960220596772
"274",01:00:00,"Lighting",2015,"Winter",36.867035783157
"275",01:00:00,"Lighting",2016,"Autumn",30.8412919594067
"276",01:00:00,"Lighting",2016,"Spring",40.2951170522251
"277",01:00:00,"Lighting",2016,"Summer",29.9475339161405
"278",01:00:00,"Lighting",2016,"Winter",38.1501651524791
"279",01:00:00,"Lighting",2017,"Autumn",36.2534339510589
"280",01:00:00,"Lighting",2017,"Spring",32.1249524617632
"281",01:00:00,"Lighting",2017,"Summer",23.3120834589994
"282",01:00:00,"Lighting",2017,"Winter",41.1515833641115
"283",01:00:00,"Lighting",2018,"Autumn",32.3476516077404
"284",01:00:00,"Lighting",2018,"Summer",10.3502491301322
"285",01:00:00,"Lighting",2018,"Winter",48.0564198492152
"286",01:00:00,"Oven",2014,"Autumn",2.0406116838488
"287",01:00:00,"Oven",2014,"Spring",8.19049783549784
"288",01:00:00,"Oven",2014,"Summer",13.9551358024691
"289",01:00:00,"Oven",2014,"Winter",11.8542231585518
"290",01:00:00,"Oven",2015,"Autumn",7.82880667033169
"291",01:00:00,"Oven",2015,"Spring",0.403301659125189
"292",01:00:00,"Oven",2015,"Summer",8.26986689848353
"293",01:00:00,"Oven",2015,"Winter",2.12845383141762
"294",01:00:00,"Oven",2016,"Autumn",0.000751254480286738
"295",01:00:00,"Oven",2016,"Spring",0.135197827329903
"296",01:00:00,"Oven",2016,"Summer",0.60929226505417
"297",01:00:00,"Oven",2016,"Winter",0.715960631960633
"298",01:00:00,"Oven",2017,"Autumn",0.000484736355226642
"299",01:00:00,"Oven",2017,"Spring",0.741704372623574
"300",01:00:00,"Oven",2017,"Summer",0.782909631019388
"301",01:00:00,"Oven",2017,"Winter",0.849462073133877
"302",01:00:00,"Oven",2018,"Autumn",3.45814046027095
"303",01:00:00,"Oven",2018,"Summer",0.0549089316987741
"304",01:00:00,"Oven",2018,"Winter",6.52302651164839
